Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel,Order ID
Brian Lee,Ekiti,Laptop,,158687.85,,2023-08-17,Direct,9dde0188-9803-422e-beec-e88da002352a
Christopher Smith,Abuja,Monitor,,108854.57,,2023-08-19,Direct,22af711f-1b62-4a9d-b536-6b9f320f72c0
Denise Mccann,Rivers,Camera,,275214.79,,2024-02-14,Retail,654c11d9-f2e6-4828-81bb-819c4dfe1117
Melissa Martinez,Abuja,Monitor,78,,,2024-07-29,Direct,614077d3-9ec4-4a48-9773-f98d550c2fe9
Katherine Salas,Benue,Keyboard,43,34106.53,1466580.79,2024-10-17,Retail,70b27304-545c-488d-9cb9-075ecdd7f460
Julie Alexander,Sokoto,KEYBOARD,,248717.83,,2025-05-26,Retail,d2d33488-d0c3-4018-ae3c-dd4f55b145e4
Anthony Everett,Rivers,Tablet,,270915.0,,2025-04-25,Direct,982a2277-f966-459f-a6aa-59e5dc08bf29
,delta,Monitor,,61045.96,,2024-11-30,Direct,9a6c0db9-5217-4c88-8ce9-53a722d90db3
Rodney Morales,Enugu,Tablet,,161229.72,,2024-12-14,Online,7aa061e9-336b-40cb-b1fe-ad13f280df1d
Mark Brown,Enugu,Phone,51,49778.88,2538722.88,2024-07-10,,65f30779-f6ee-4cdb-ad79-a2d1506e50c7
Justin Torres,Imo,Laptop,,256418.56,,2024-02-17,Retail,bc20b9f2-4a9c-489e-91b3-0182f7fe604f
Bailey Duran DDS,Ekiti,Camera,,132831.25,,2024-08-30,Direct,
Courtney Mills,Oyo,Camera,,204248.42,,2023-07-17,,f7bf5244-7db2-47aa-a205-e54fb1e8c09d
Jeremy Dalton,Niger,TABLET,,,,2025-04-29,Direct,536d47d7-3e0f-44ce-882f-78fd936cd31c
Elizabeth Oliver DDS,Kaduna,Laptop,,215216.93,,2023-10-02,Direct,c92e8c93-d105-48d6-87c1-c01760452909
Theresa Clark,Anambra,Headphones,,146903.98,,2024-06-09,Online,ee9bf3e1-1d27-409a-9d71-a89864976593
Matthew Moore,ekiti,Camera,,269717.36,,2023-10-23,Retail,ff4cc10f-979c-40cf-b326-1887905881df
Benjamin Smith,Delta,Headphones,,133922.07,,2025-05-26,Retail,c4829b71-ae84-481c-ae0f-b5b38bae591e
Kirk Carter,Kano,Laptop,,17162.92,,2024-02-01,Wholesale,ba2aa7ba-f3f8-4c31-86e3-f9498cd34c62
Michael Warner,Ekiti,Headphones,,40017.33,,2025-01-26,Online,35ab8466-b557-4b00-b166-cdcf762cdfbc
,Imo,Phone,,124919.66,,2024-04-20,,d4cee27c-4a94-4e9f-8c35-1e4f703e957f
Michael Bradshaw,Rivers,MONITOR,40,169391.4,6775656.0,2025-02-23,Online,d908a121-d1a7-4a20-91b4-61e9b15da72d
Lori Guerrero,Abuja,Keyboard,,167859.76,,2024-05-19,,ac484366-68bd-40d7-8b88-1c32cbb02a8b
Jessica Stephens,Imo,Keyboard,,,,2024-04-20,Retail,4d8670bd-a222-4f96-a3a1-3e207fd255ee
Susan Serrano,Lagos,Tablet,25,201993.93,5049848.25,2023-08-15,Wholesale,2775ee42-a89e-42f2-80af-bf3f3df51967
Christopher Parker,kano,Phone,18,92796.78,1670342.04,2024-05-17,Wholesale,
Laura Roberts,Delta,Camera,,7020.25,,2023-08-19,Retail,6082786f-ca00-4f58-ac52-1d13b719bb68
Michael Lyons,Kaduna,Tablet,,76709.94,,2024-09-25,Direct,9912316a-fd9e-4e20-b2f6-095812ef6101
Kathryn Snyder,Niger,Tablet,,1403.13,,2024-09-19,Online,88cc4d49-669b-49b8-950d-f1a07aaf2001
Andrew Reynolds,Cross River,KEYBOARD,,65761.44,,2023-12-09,Wholesale,dea050c6-eb9e-4274-ac6a-37ad81b15db9
David Davis,Cross River,Laptop,,22372.34,,2024-04-17,Direct,09697101-8b2c-450a-ab15-c11bb113d50b
Sara Johnston,Enugu,Camera,,127397.37,,2024-09-12,,b39e4df2-5c0a-4feb-b7ea-e66eca6caf9b
Yvonne Chambers,Benue,Tablet,,210265.27,,2024-02-20,Wholesale,98049562-8972-4bbd-8ff2-b1c4e53f9644
,Abuja,Camera,49,,,2023-09-06,,1bffa279-15c1-404f-aa16-3354a35fc9c1
Andrew Avila,kaduna,Monitor,21,162578.47,3414147.87,2024-05-06,Direct,aa2960fd-a858-44df-bf8c-1097c4da2c2e
Matthew Moon,Benue,Laptop,,18546.56,,2024-08-05,,9cd8758b-a5a1-4825-aa95-28c35ae1dbad
Kevin Walters,Lagos,Camera,,268318.42,,2024-06-24,Direct,a520c3d0-fbcd-4f5e-902f-34650b570720
Brandon Bailey MD,Benue,HEADPHONES,57,295848.11,16863342.27,2025-02-23,,f780ef2f-664d-4922-a590-fd3cad6ecc57
Shannon Rivera,Anambra,Tablet,,141885.32,,2024-09-10,Online,cbd5cc86-f739-46e9-94e3-8579c0afd193
Donna Landry,Ekiti,Headphones,,86483.67,,2024-02-13,Wholesale,
Krista Gibson,Borno,Laptop,,54404.41,,2025-04-12,Wholesale,193e4783-02b3-4254-9b1f-2eb16e3255a8
Frank Cordova,Niger,Phone,,41060.95,,2024-11-06,Direct,bf31c29f-82bb-4d84-b8d5-101f423cad9d
Jose Travis,Imo,Headphones,,192636.74,,2024-12-20,,b00ac64c-949c-48d4-8ed8-a80d84cfee39
Kimberly Gutierrez,cross river,Tablet,58,,,2024-10-27,Retail,5fc64cd0-721e-4b1f-b895-89399342a09f
Isaiah Avila,Oyo,Tablet,69,218922.21,15105632.49,2023-10-11,Wholesale,adf75924-c5b8-486b-b68b-4f7e64215e66
Olivia Harris,Enugu,KEYBOARD,,289152.88,,2023-10-18,,2697384d-801e-4690-b0c0-7fcc96add4df
,Borno,Laptop,,112651.05,,2023-09-24,,7b96e2d1-0649-4cf6-bf69-723d584fc85b
Tanya Kim,Enugu,Keyboard,,267454.41,,2024-05-11,Online,eba900e1-6a7d-4d96-8ba1-72331ac3bf31
Barbara Dudley,Abuja,Tablet,,134836.87,,2024-04-25,Retail,d4d13d55-1db6-4844-95fa-9483f633cc2d
Cynthia Moore,Plateau,Monitor,,275175.97,,2025-03-19,Wholesale,592c1107-2444-4301-baeb-286bf0d0270f
Kristen Davis,Imo,Tablet,,113560.16,,2024-03-30,Online,c8c5eb2a-7490-4deb-97d3-37d34fd80bbb
Susan Murray MD,Abuja,Keyboard,,24534.87,,2024-09-16,Retail,592a3549-7ba1-49d0-8567-c80534f541c0
Kathleen Moran,sokoto,Keyboard,54,289261.24,15620106.96,2025-07-09,Wholesale,b8d49848-702b-449f-98fd-d2b979e5c9aa
Denise Davenport,Abuja,LAPTOP,,,,2024-04-19,Online,
Mrs. Kristen Reyes,Abuja,Phone,,262428.84,,2025-02-16,Retail,1132567c-51a4-4d2a-b3d3-9457b25f13df
Katie Suarez,Plateau,Monitor,,40330.45,,2023-10-31,Wholesale,b5f59cb0-cf68-4878-8b70-59334cde1b6b
Desiree Tyler,Cross River,Charger,,258155.83,,2023-12-12,Retail,57d3f4dd-d963-4c72-85c8-234b1d763a66
Timothy Romero,Bauchi,Tablet,71,36030.63,2558174.73,2024-10-20,,ccd015c1-ad59-40dd-9bff-3142a5e15b55
Diane Evans,Bauchi,Phone,,297857.61,,2024-08-09,Direct,bd90b81a-fbe0-46b8-ae0f-65a82a131c1f
,Kaduna,Laptop,,118221.06,,2024-05-17,Direct,8d49fe3f-2ca8-4783-8418-2d353e711433
Yvonne Burns,Abuja,Camera,11,38640.45,425044.95,2024-08-02,,6d268b37-8f52-42d3-94bb-bcf828fea761
Joshua Reed,bauchi,PHONE,,293627.95,,2023-08-11,Retail,cc39b925-3b5a-4288-b649-2e64f55dce6d
Kimberly Gibson,Kano,Tablet,66,250529.07,16534918.62,2023-08-15,,2fb70dab-2f38-4b43-a137-f8e467b13040
Colin Terry,Kaduna,Phone,56,,,2023-08-10,Direct,6544e313-6ea0-4d13-a845-54c3a3f66c61
Cynthia Rowe,Kano,Headphones,,226975.73,,2023-10-25,Direct,e212ab7c-9d36-4cb6-bcc5-7be00779250a
Patrick Thornton,Katsina,Keyboard,45,293557.96,13210108.2,2025-01-15,Retail,6df72cd3-979a-4051-b317-591a3283daa4
Jasmin Alvarado,Kano,Keyboard,54,139169.67,7515162.18,2024-03-25,Direct,36fce0ac-b469-4db3-8123-a348638abdf6
Veronica Simpson,Delta,Tablet,,215868.65,,2025-03-26,,
Jonathan Lawrence,Benue,Headphones,48,127526.34,6121264.32,2024-07-12,Retail,b4299924-c098-4750-8741-9b4834ae4abd
Shelly Alexander,Rivers,MONITOR,50,114093.3,5704665.0,2024-08-17,,93cd1291-1004-4d82-8bc7-2f1acf08ea54
Joyce Bowen,plateau,Keyboard,48,69284.39,3325650.72,2024-06-29,Retail,89718eea-df3a-498a-8cac-2fb51a0c6c04
Matthew Moore,Delta,Laptop,,138457.27,,2023-11-03,Direct,327375bf-5373-4f4d-9da4-9cb92fdc9992
,Plateau,Keyboard,,46958.85,,2024-10-23,Wholesale,abb316a7-4329-4780-9d2c-272175220646
Wayne Morgan,Katsina,Charger,,,,2025-06-03,Retail,f7464c02-8718-44c1-bd4e-d26edcd5bfae
Marie Christian,Abuja,Monitor,19,56949.9,1082048.1,2024-08-14,Retail,637ddcd6-98d3-448b-903b-4078a39c9ec6
Shannon James,Katsina,Charger,,262624.85,,2023-10-27,Wholesale,1d3e503a-9645-40e4-a47d-c3929c7eb575
Nathan Malone,Kano,Charger,,229764.23,,2024-03-21,Direct,753659ef-d873-4ad9-9a1b-af0e591196dc
Amanda Jones,Niger,LAPTOP,,10149.09,,2025-07-03,,ac7051d1-d051-467f-ac2a-c34b9e0b7b01
Tammie Bright,Plateau,Headphones,,198229.21,,2024-10-29,Online,eb2ec80e-4c25-4823-8cf4-ffb0b4bba73f
Jessica Garcia,plateau,Charger,79,184669.5,14588890.5,2024-03-14,Wholesale,ac0f6801-15b2-4e1d-9715-46339d4edb71
Shelia Wallace,Bauchi,Monitor,11,280903.26,3089935.86,2023-11-14,Online,3d131a3d-1e2c-4e7d-902c-f0ee224a66a6
Stephanie Williams,Sokoto,Keyboard,33,266767.88,8803340.04,2024-05-11,Direct,
Elaine Brooks,Anambra,Tablet,,72579.56,,2024-10-31,Retail,5f90fc87-2edc-417e-9df0-5d184e2d6255
Joseph Knight,Enugu,Monitor,,,,2025-02-04,Retail,63725424-82c5-4b21-a430-12dab1850eb8
Carolyn Miller,Sokoto,Phone,,20653.63,,2025-04-25,Direct,93267d25-234b-4562-98af-5cca6b11b7cb
,Delta,KEYBOARD,,178386.27,,2024-02-28,,7c966b55-2f8d-4ded-ac4c-450b623ad0fc
Lisa Allen,Anambra,Laptop,,134209.1,,2024-10-14,,eb4e2281-b184-41fc-8991-b01aa2b03c4b
Briana Murray,Benue,Charger,16,201771.08,3228337.28,2024-03-28,Direct,2c591da8-fff9-4acf-ae42-05eea52fc3ec
David Smith,oyo,Tablet,,261727.62,,2024-08-08,Direct,49f1137d-7d59-4e19-aab7-b2ef8e0ec033
Stephanie Byrd,Borno,Charger,,73797.88,,2025-04-14,Direct,d78c57d3-5088-40d3-afe5-b14023ea7956
Jeremy Reed,Ekiti,Laptop,59,13748.9,811185.1,2024-08-09,Direct,dd92dd7c-0db9-47a9-9e91-a71c7374ccbf
Margaret Coleman,Sokoto,Monitor,,131969.36,,2024-08-27,Direct,7c0f549d-0274-4f73-b3ab-ea0d5be9fdb3
Ryan Gonzalez,Kano,Phone,,162158.06,,2024-07-25,Direct,624a2a50-d0b1-4de0-b1f3-f0c022f3f068
John Young,Lagos,KEYBOARD,,,,2025-01-11,Retail,a72f947d-8164-42cb-8fc3-d7d3f6bd80c7
Laura Haney,Ekiti,Monitor,,226438.52,,2024-09-20,Online,7de1bf5d-af48-47f0-a8bd-075b7eb6581e
William Barrett,Katsina,Phone,,232931.05,,2024-02-28,,
Keith Jennings,Plateau,Camera,,42470.6,,2024-07-13,Online,71a0449d-d703-462f-b5cb-e3f56a66c184
Amber Obrien,rivers,Charger,55,298048.29,16392655.95,2025-04-04,Retail,90bde900-1529-46f5-aad1-1fe87d1b695e
,Kano,Keyboard,,70631.37,,2023-07-23,Wholesale,38749f3c-c2d4-4b56-8bbe-d98007e67cb0
Tanner Mitchell DDS,Imo,Keyboard,,274960.91,,2024-04-22,Online,398f569b-465c-42cb-885e-b4894ac66780
Heather Fields,Enugu,Phone,54,173045.05,9344432.7,2024-03-24,Wholesale,c7de96ea-2b0f-4e44-89e6-4c2289a0b7eb
Megan Le,Bauchi,CAMERA,,173453.71,,2024-12-15,Retail,c5c5ae8a-be15-4d12-90ce-77e9751303b9
Sara Fuller,Anambra,Tablet,,231875.19,,2023-10-04,,82c42e48-8cba-4ae5-becc-daf4c4134dc2
Maria Parker,Oyo,Headphones,47,,,2024-05-29,Wholesale,44945e09-1d3c-45a4-929d-63771cfb655f
Kevin Oconnor,Osun,Tablet,,245605.56,,2024-10-06,Retail,fdab3441-d2c2-4960-8b09-01abc66dceb3
Edward Burgess,Kano,Keyboard,,71452.76,,2024-03-05,Direct,c1bcbe59-d296-412d-8ac3-5ac45deaa737
Carlos Ryan,delta,Keyboard,71,262939.37,18668695.27,2025-03-20,,70fd6672-b80f-46c5-828f-a16b0aa6fcb9
Kiara Mcintyre,Osun,Laptop,,295715.82,,2025-06-08,Direct,6cd6f011-fd61-413b-b7f2-5d368bddcee3
Dawn Summers,Borno,Phone,,156614.69,,2025-01-24,,a757075b-d47f-43b1-bc69-c1551a37f6bd
Dr. Paul Morgan,Kaduna,CAMERA,,124361.28,,2025-05-18,,
Victor Taylor,Ekiti,Headphones,,82908.6,,2024-12-26,Online,dff389aa-4c36-470c-bf5e-3b8cc0582da5
,Imo,Tablet,,167237.08,,2024-11-10,,4347dbca-7321-48b2-8840-405affd2f491
Shannon Ramsey,Borno,Phone,,177704.3,,2023-07-31,Online,164484a0-d115-4fff-9cb9-1d5f593c572b
Tracy Ballard,Katsina,Monitor,,,,2024-10-16,Wholesale,1e0d02b5-fe74-42cd-9d83-ad037066e289
Richard Smith,Bauchi,Laptop,,220696.03,,2024-07-13,,35ba9357-3ca8-4f31-8fd7-f3b9c68fcba5
Jordan Chambers,lagos,Camera,,52952.39,,2024-02-02,Wholesale,b06b0f0c-9682-4e22-bcd4-344fcf8a368e
Lauren Carson,Imo,Laptop,,203785.66,,2024-12-01,,9c3a1e0b-b5f3-48aa-9c6d-afff59c2f153
Ashley Hall,Borno,KEYBOARD,18,166977.27,3005590.86,2025-03-10,Online,9dbc15c0-2a7d-457c-ad9c-5b50a1fd4187
Stephen Hoffman,Rivers,Laptop,,14541.79,,2025-03-04,Direct,d0437e4c-34e5-4699-88eb-e27a23a4e70e
Connie Brown,Oyo,Headphones,,103652.24,,2024-10-02,,91f0647d-0f32-4333-8e31-593734fa32b6
Susan Turner,Anambra,Keyboard,,193173.16,,2024-10-01,Retail,98cbaa52-47f5-4019-8843-8de259cf0b0d
Charles Shah,Rivers,Tablet,,114655.81,,2024-01-03,Direct,fa9fc10e-52da-4681-ab1a-c76c89ecbc51
Johnathan Davis,Rivers,Tablet,,157576.69,,2025-01-21,Online,929ecc92-4a11-4e44-8aea-1b8fb43cde0a
Brandy Chavez,Imo,Monitor,24,,,2023-08-19,Retail,
,oyo,Keyboard,,209044.37,,2024-10-06,Wholesale,83b0b35c-dba6-4df8-b3d0-4ffb44709848
Natalie Bautista,Anambra,KEYBOARD,,122773.62,,2024-07-18,Online,d0afb235-ade6-4f51-a670-93a0fc48f615
Patrick Moore,Borno,Camera,,90316.6,,2023-11-20,Direct,c0062b5b-f678-49b2-a2b5-f4571860ad28
Brett Burns,Katsina,Keyboard,26,55571.75,1444865.5,2024-08-21,Wholesale,0f2d5c15-eb34-4d3a-a95e-5ea9c9230c64
Trevor Johnson,Enugu,Headphones,26,161609.52,4201847.52,2024-11-10,Wholesale,a7e8d18e-ddf6-44ac-86fe-acd4fe1393cd
Jeremy Sampson,Sokoto,Monitor,,72669.97,,2025-01-21,Online,21f8072d-ddb7-470e-b390-b059207bbe21
Ariana Jennings,Enugu,Camera,,67990.69,,2024-11-03,Direct,5274ee11-b61d-4906-a570-35db3fead90a
Vanessa Howard,Anambra,Headphones,,257333.6,,2025-03-03,Online,d7f34368-c2ef-4ecb-bf5f-bf4fd4176230
Colton Martinez,Bauchi,Laptop,33,43733.35,1443200.55,2025-04-24,Retail,24655c39-7d4d-4add-a488-0945ad1db537
Jordan Bates,cross river,TABLET,,,,2024-05-01,Retail,a0b85755-44ca-45a2-a1e5-18a293d228d4
Linda Smith,Anambra,Monitor,,139176.04,,2023-11-02,,135508d0-73b5-4ad5-a00b-4b356a0aa7d5
Dana Martinez,Abuja,Charger,46,17758.37,816885.02,2025-04-09,Wholesale,c4d598f7-e14f-4093-8b6a-d0c7a2356dd4
Andrea Hubbard,Kano,Tablet,,124096.91,,2024-12-20,,bff30c8d-83ff-4e96-a721-3a7017d50f59
,Niger,Phone,35,125244.11,4383543.85,2024-01-15,Direct,
Daniel Kane,Anambra,Tablet,,159232.55,,2023-08-04,Retail,e097dedb-efb3-4939-b1d8-18874739cc7b
Charles Lester,Abuja,Tablet,,116831.51,,2024-09-27,,7cf07bb3-f343-49eb-b466-ef025e7b72c8
Scott Thomas,Lagos,Keyboard,,76871.2,,2025-01-05,Retail,de70bd30-00a2-4367-94fb-09f053c93ae7
David Thompson,Sokoto,HEADPHONES,44,99413.77,4374205.88,2023-10-04,Retail,17d821b8-bb93-4d40-98df-f535c62dbaea
Allison Smith,oyo,Keyboard,,24181.59,,2023-12-06,Retail,a284e8fd-755c-4e2a-b8de-d777bb1e5ae8
Cynthia Morris,Anambra,Keyboard,,,,2023-07-25,Online,d9a09007-5bb4-4c18-b281-87c4aa055442
Anthony Harmon,Kaduna,Charger,,135211.15,,2024-06-17,,65d0b517-88d0-4abd-8bb1-8c791036708d
Nichole Alvarez,Ekiti,Charger,,111637.71,,2024-03-10,Wholesale,d3293724-6dfd-471a-b7d7-465d37c3b3c9
Kayla Rodriguez,Imo,Monitor,55,160922.84,8850756.2,2024-05-31,,52a74a41-44be-4486-bea5-a387363be5cb
Theresa Williams,Niger,Keyboard,,248907.18,,2023-11-05,Wholesale,8c1c8b05-5677-4f36-8899-8e5fd40e53ce
Sharon Boyd,Imo,Charger,,15935.22,,2024-05-26,,da385db5-90ee-4067-a16e-9fe593f37596
Victor Brown,Lagos,CAMERA,,113461.81,,2024-12-28,,e4e751de-57ff-41d9-89ce-44bd7c3f1add
,Rivers,Camera,14,181688.35,2543636.9,2023-12-16,Retail,0bc2ea72-0c64-4ca2-8323-1466aebbb90e
James Parks,kano,Monitor,,12344.49,,2024-05-24,Wholesale,
Theodore Jones Jr.,Oyo,Camera,,22298.91,,2024-08-03,Wholesale,d6321d31-c8ac-4fcf-a04d-4d14197dbae1
Ana Hill,Imo,Monitor,,,,2025-03-03,Wholesale,edef5003-1fce-41e3-842b-03ca75a72686
Kimberly Nguyen,Abuja,Phone,,241492.86,,2024-10-27,,74de5f70-70f8-4dba-a871-9b9bdb8f0e32
Kerry Chavez DDS,Osun,Charger,,176481.31,,2025-06-24,Wholesale,6d84414d-f541-41ea-bde9-1c42002c4c22
Michael Farrell,Plateau,Keyboard,,201599.43,,2024-07-11,,e8cee951-b047-4ea4-bee5-ce6933cb202e
Patricia Le,Imo,MONITOR,58,65496.45,3798794.1,2025-05-18,Online,4d470ed6-a666-4769-a1d4-6f8221c50e41
Jesse Perez,Oyo,Monitor,,63062.28,,2025-04-29,Retail,e0688849-eec7-4a30-9fda-35b228b2bf21
Jesse Perry,Niger,Headphones,,272156.33,,2025-02-01,Direct,5c457e4d-a793-43b8-97e5-2113462623be
Jeffery Ortega,oyo,Keyboard,,91304.81,,2025-01-25,Online,aa1d3fc6-5f31-473d-9519-830c40198303
Christian Leblanc,Abuja,Phone,8,272743.75,2181950.0,2023-08-28,Wholesale,0d41ee47-2a5f-4a18-a61f-0b96e75f745a
Ronald Davis,Borno,Headphones,,63936.43,,2025-01-09,Retail,b9da5f8c-4e35-4a80-a027-9a186576a410
,Osun,Charger,,,,2023-10-26,Retail,6de21429-3bf0-49c1-8156-e501b30e96e8
Parker Cain,Abuja,Laptop,,57412.1,,2024-08-16,Retail,185df528-b425-4e19-9758-d47ea7cde143
Laurie Hoffman,Osun,KEYBOARD,87,222571.82,19363748.34,2023-12-19,Retail,
Bryan Gomez,Enugu,Laptop,4,224190.33,896761.32,2024-09-18,Wholesale,13f3cade-7a10-413f-b6a2-c52b00473139
Nicole Parrish,Delta,Keyboard,,226422.06,,2024-03-19,Retail,84fa4c72-39e7-44f1-97fb-613a21f89d06
Tracy Burke,Rivers,Phone,57,274375.17,15639384.69,2024-12-06,Direct,02106371-0260-4123-b1ef-e72aae13591e
Kenneth Lewis,osun,Headphones,17,208840.07,3550281.19,2024-07-16,Direct,1edf3bfa-d12e-4eb5-97f4-79b5b212a6ee
Courtney Rodriguez,Imo,Monitor,,211278.69,,2024-08-22,Retail,b1ac040d-6c1c-4405-9c3f-42e0fcf7b842
Holly Farmer,Niger,Headphones,,119291.3,,2024-04-28,,3a9c4308-1221-4ddf-ba4a-902f21d63b0f
Renee Bruce,Katsina,Laptop,,72179.62,,2024-03-10,Wholesale,ce532ffd-bb13-4f02-96de-66c96210def6
Sabrina Austin,Oyo,KEYBOARD,,,,2023-11-22,Direct,5e1885c3-5037-4d6b-9a6b-6a7d1a38aad6
Allison Hickman,Delta,Tablet,,96823.7,,2024-07-02,Direct,61fa01ba-231a-47c7-8c9b-ff5ce1887eaf
Debra White,Kaduna,Charger,,85276.23,,2025-06-18,Direct,dfdf0e05-c0ce-431b-9038-e153c601818b
,Kaduna,Monitor,,140142.01,,2024-08-28,Online,ad58db1b-fe31-437a-a43e-558c2215df00
Ellen Morgan,Niger,Laptop,98,194792.04,19089619.92,2024-04-01,Online,9033da65-87cf-43fd-9183-6c4f249204c7
Sergio Knight,lagos,Charger,74,92872.47,6872562.78,2024-09-07,Direct,2a038ad4-a667-4982-9c3d-e1b0022b6683
Charles Schultz,Kaduna,Monitor,,108213.56,,2024-04-11,,
Paul Lewis,Sokoto,Charger,,264902.18,,2024-12-16,Wholesale,368acd40-b8f1-4e3c-99e7-703a70aa5b0d
Glen Wood,Niger,KEYBOARD,,140068.22,,2025-03-01,Wholesale,eb7e2e64-26c0-447e-bf8e-8bfaa0c9da72
Paula Bradley,Delta,Phone,32,240943.58,7710194.56,2025-05-14,Direct,714011a1-afc2-4cfc-9db7-284b6965d1d1
Anthony Moore,Anambra,Laptop,,,,2025-01-20,Direct,e5871d89-1631-4fc6-b79d-58f9dc268108
Megan Nelson,Kaduna,Camera,,216862.87,,2024-12-20,Wholesale,1f873b46-c0a0-473a-a3d7-e6a119b814fc
Karla Ramos,Rivers,Tablet,,228607.88,,2024-11-21,,59fe3d53-624f-4a4b-bae1-e13796ee50e5
Paul Wilson,Benue,Camera,72,96409.87,6941510.64,2025-03-26,Online,ca840003-5083-4fef-adec-6bbdf69777a1
Douglas Gregory,abuja,Laptop,,61336.68,,2024-12-30,Online,a505da9c-46e7-4a2c-bf6e-ed9d23cbe943
Mr. Andrew Foster,Cross River,Monitor,,94220.14,,2024-02-01,Direct,99db1302-8dab-46d3-bf87-dfc2159152f2
,Delta,LAPTOP,,14191.78,,2024-10-26,Wholesale,48f091f0-9b8b-48ae-b89f-3a92999a1d86
Aimee Turner,Enugu,Laptop,,259293.41,,2024-07-21,Online,06ddf6ca-b0c3-4a59-b0f7-ad22c76a8e0f
Chad Scott,Ekiti,Keyboard,63,222505.09,14017820.67,2023-12-07,,e03635fc-a88d-4108-98d9-94b8d90f74e9
Adam Burgess,Osun,Headphones,16,5357.86,85725.76,2024-01-18,Direct,9b5f8f39-848b-44f0-b498-17354d38e415
James Padilla,Borno,Tablet,,,,2024-02-12,Retail,
Sandra Drake,Delta,Phone,,166216.81,,2024-09-16,Direct,6449cb6f-bf72-4e52-b04b-237082701238
Scott Williams,Delta,Phone,57,175417.55,9998800.35,2024-02-27,Retail,c8a738ab-0df8-4e12-a56b-61e04ba8a4ca
Thomas Atkins,lagos,Charger,,216143.58,,2024-01-01,Direct,3d4574eb-f465-4a21-8b35-097ae5dd98f1
Laura Mckinney,Enugu,PHONE,,88910.09,,2024-02-27,Wholesale,3db788a6-1cdc-44c2-a2c9-65b27eb0f62a
Brian Smith,Benue,Tablet,91,59259.44,5392609.04,2025-02-28,Wholesale,122dd7be-980b-481e-a359-5d1f7fe4a42e
Robert Montgomery,Sokoto,Charger,,69390.58,,2024-02-20,Wholesale,0316d2d6-fa4a-48ef-a383-7348873dc8bd
Tamara Davis,Anambra,Charger,,171151.96,,2025-01-08,Wholesale,51045a16-ef15-4b72-9c70-ee97fca45567
Dana Chapman,Kano,Monitor,,74096.14,,2023-12-18,,d6c6f45c-dc5e-4e78-a307-d4d121c9a15d
,Anambra,Headphones,,165417.44,,2024-12-28,,8bde005b-5d8b-4bd7-abbd-b66f91816091
Jennifer Collins,Osun,Camera,82,,,2025-01-08,Retail,78946a15-c342-41db-ac3a-acdcaed54a46
Gary Jackson,Bauchi,Monitor,,283067.63,,2024-07-24,,12af97e4-c536-466e-bcc4-091bf45707c6
Ashley Hicks,benue,HEADPHONES,29,101600.5,2946414.5,2024-03-13,Direct,0387f74d-1149-4096-965d-744f0445c1a8
Hannah Luna,Imo,Headphones,26,229126.51,5957289.26,2024-07-17,Wholesale,ec2e2815-0a32-47d2-b73a-edf8431e930f
Robin Young,Sokoto,Headphones,,146842.02,,2024-04-06,Online,
Craig Morrison,Lagos,Laptop,,217205.6,,2024-09-18,Online,65e1b0f5-ca0e-48c4-b2dc-b12b0f7ae302
Mary Thompson,Rivers,Monitor,,222008.43,,2025-07-05,Online,b66edbf4-a0ea-4251-8957-43a281b13b80
Kathleen Webster,Anambra,Camera,,138518.29,,2025-07-05,Direct,6c6f6d2e-6a59-4043-8461-52348044beb2
Joann Glass,Kaduna,Keyboard,71,219965.28,15617534.88,2025-03-19,Online,a3fa4069-1519-4d38-a6fb-a71db3a9dcaa
Madison Weber,Plateau,Headphones,79,105976.76,8372164.04,2025-01-21,Online,271610c1-9db5-4283-89a3-c811895c4fde
Lori Hernandez,Anambra,CAMERA,,,,2024-02-08,Retail,143ac1c5-4f56-4ed5-9566-9e364708203b
Jeremy Turner,abuja,Keyboard,,42417.58,,2024-02-19,Direct,f96c9a0a-3404-402a-abc1-bb5282e4dd4a
,Rivers,Tablet,,164190.63,,2023-10-13,Direct,53a5e850-8950-4dd6-a7c6-cbb1cedd069d
Anthony Romero,Katsina,Keyboard,,55622.31,,2024-09-28,Online,c362a810-a261-4b8d-9620-bee66406face
Jesse Brown,Niger,Tablet,,266864.68,,2024-12-17,Direct,a4a5c736-ae59-4a52-a65b-e22bd5a386d9
Angela Lin,Osun,Phone,74,297101.9,21985540.6,2024-09-04,Retail,6fff15cc-b2dc-4c34-8f67-448e10eceb1f
Lisa Hunter,Sokoto,Keyboard,,287192.45,,2024-04-30,Retail,3d175712-d8b2-4277-b413-db19bade8d5d
Julian Conner,Niger,Tablet,83,157421.35,13065972.05,2025-06-05,Wholesale,ecb4678c-1612-4aa6-be96-39ba0ed2ec9d
Joanna Pacheco,Katsina,HEADPHONES,,251801.01,,2024-05-12,Retail,
Erica Alvarez,Bauchi,Laptop,,22761.96,,2025-04-06,Wholesale,9cbf7b8c-7410-4d5d-9db1-4bfc6f3a5115
Antonio Garcia,rivers,Keyboard,45,,,2024-04-04,Online,aa8430f8-4f2d-4233-8e16-5b129bdc70d1
Gwendolyn Klein,Benue,Charger,,245489.78,,2025-03-02,Wholesale,2cf72140-bd9b-4648-a876-1e85bddfa03a
